Year,RatioF,RatioM
2018,7.173913043478261,4.130434782608695
2015,6.2,4.0
2008,1.0,0
2014,7.25,2.0
2013,4.666666666666667,1.5
2019,17.928571428571427,21.486842105263158
2020,19.333333333333332,24.539473684210527
2011,2.0,0
2009,2.0,0
2012,5.666666666666667,11.0
2016,5.375,5.4
2017,4.666666666666667,3.9285714285714284
