Year,City,Sport,Discipline,Athlete,Location,Gender,Event,Medal
2002,Salt Lake City,Skiing,Cross Country Skiing, Stefania belmondo,Italy,Women,30KM,Silver
2002,Salt Lake City,Skiing,Cross Country Skiing, Brigitte albrecht loretan,Switzerland,Women,4X5KM Relay,Bronze
2002,Salt Lake City,Skiing,Cross Country Skiing, Andrea huber,Switzerland,Women,4X5KM Relay,Bronze
2002,Salt Lake City,Skiing,Cross Country Skiing, Natascia leonardi cortesi,Switzerland,Women,4X5KM Relay,Bronze
2002,Salt Lake City,Skiing,Cross Country Skiing, Laurence rochat,Switzerland,Women,4X5KM Relay,Bronze
2002,Salt Lake City,Skiing,Cross Country Skiing, Viola bauer,Germany,Women,4X5KM Relay,Gold
2002,Salt Lake City,Skiing,Cross Country Skiing, Manuela henkel,Germany,Women,4X5KM Relay,Gold
2002,Salt Lake City,Skiing,Cross Country Skiing, Claudia kuenzel,Germany,Women,4X5KM Relay,Gold
2002,Salt Lake City,Skiing,Cross Country Skiing, Evi sachenbacher,Germany,Women,4X5KM Relay,Gold
2002,Salt Lake City,Skiing,Cross Country Skiing, Marit bjoergen,Norway,Women,4X5KM Relay,Silver
2002,Salt Lake City,Skiing,Cross Country Skiing, Anita moen,Norway,Women,4X5KM Relay,Silver
2002,Salt Lake City,Skiing,Cross Country Skiing, Hilde G pedersen,Norway,Women,4X5KM Relay,Silver
2002,Salt Lake City,Skiing,Cross Country Skiing, Bente skari,Norway,Women,4X5KM Relay,Silver
2002,Salt Lake City,Skiing,Cross Country Skiing, Viola bauer,Germany,Women,5Km Pursuit,Bronze
2002,Salt Lake City,Skiing,Cross Country Skiing, Beckie scott,Canada,Women,5Km Pursuit,Gold
2002,Salt Lake City,Skiing,Cross Country Skiing, Katerina neumannova,Czech Republic,Women,5Km Pursuit,Silver
2002,Salt Lake City,Skiing,Cross Country Skiing, Anita moen,Norway,Women,Sprint 1.5KM,Bronze
2002,Salt Lake City,Skiing,Cross Country Skiing, Julija tchepalova,Russia,Women,Sprint 1.5KM,Gold
2002,Salt Lake City,Skiing,Cross Country Skiing, Evi sachenbacher,Germany,Women,Sprint 1.5KM,Silver
2002,Salt Lake City,Skiing,Freestyle Skiing, Deidra dionne,Canada,Women,Aerials,Bronze
2002,Salt Lake City,Skiing,Freestyle Skiing, Alisa camplin,Australia,Women,Aerials,Gold
2002,Salt Lake City,Skiing,Freestyle Skiing, Veronica brenner,Canada,Women,Aerials,Silver
2002,Salt Lake City,Skiing,Freestyle Skiing, Tae satoya,Japan,Women,Moguls,Bronze
2002,Salt Lake City,Skiing,Freestyle Skiing, Kari traa,Norway,Women,Moguls,Gold
2002,Salt Lake City,Skiing,Freestyle Skiing, Shannon bahrke,USA,Women,Moguls,Silver
2002,Salt Lake City,Skiing,Snowboard, Lidia trettel,Italy,Women,Giant Parallel Slalom,Bronze
2002,Salt Lake City,Skiing,Snowboard, Isabelle blanc,France,Women,Giant Parallel Slalom,Gold
2002,Salt Lake City,Skiing,Snowboard, Karine ruby,France,Women,Giant Parallel Slalom,Silver
2002,Salt Lake City,Skiing,Snowboard, Fabienne reuteler,Switzerland,Women,Half-Pipe,Bronze
2002,Salt Lake City,Skiing,Snowboard, Kelly clark,USA,Women,Half-Pipe,Gold
2002,Salt Lake City,Skiing,Snowboard, Doriane vidal,France,Women,Half-Pipe,Silver
2006,Turin,Biathlon,Biathlon, Albina akhatova,Russia,Women,10KM Pursuit,Bronze
2006,Turin,Biathlon,Biathlon, Kati wilhelm,Germany,Women,10KM Pursuit,Gold
2006,Turin,Biathlon,Biathlon, Martina glagow,Germany,Women,10KM Pursuit,Silver
2006,Turin,Biathlon,Biathlon, Uschi disl,Germany,Women,12.5KM Mass Start,Bronze
2006,Turin,Biathlon,Biathlon, Anna Carin olofsson,Sweden,Women,12.5KM Mass Start,Gold
2006,Turin,Biathlon,Biathlon, Kati wilhelm,Germany,Women,12.5KM Mass Start,Silver
2006,Turin,Biathlon,Biathlon, Albina akhatova,Russia,Women,15KM,Bronze
2006,Turin,Biathlon,Biathlon, Svetlana ishmouratova,Russia,Women,15KM,Gold
2006,Turin,Biathlon,Biathlon, Martina glagow,Germany,Women,15KM,Silver
2006,Turin,Biathlon,Biathlon, Sandrine bailly,France,Women,4X6KM Relay,Bronze
2006,Turin,Biathlon,Biathlon, Florence baverel-robert,France,Women,4X6KM Relay,Bronze
2006,Turin,Biathlon,Biathlon, Sylvie becaert,France,Women,4X6KM Relay,Bronze
2006,Turin,Biathlon,Biathlon, Delphyne peretto,France,Women,4X6KM Relay,Bronze
2006,Turin,Biathlon,Biathlon, Albina akhatova,Russia,Women,4X6KM Relay,Gold
2006,Turin,Biathlon,Biathlon, Anna bogaliy,Russia,Women,4X6KM Relay,Gold
2006,Turin,Biathlon,Biathlon, Svetlana ishmouratova,Russia,Women,4X6KM Relay,Gold
2006,Turin,Biathlon,Biathlon, Olga zaitseva,Russia,Women,4X6KM Relay,Gold
2006,Turin,Biathlon,Biathlon, Katrin apel,Germany,Women,4X6KM Relay,Silver
2006,Turin,Biathlon,Biathlon, Martina glagow,Germany,Women,4X6KM Relay,Silver
2006,Turin,Biathlon,Biathlon, Andrea henkel,Germany,Women,4X6KM Relay,Silver
2006,Turin,Biathlon,Biathlon, Kati wilhelm,Germany,Women,4X6KM Relay,Silver
2006,Turin,Biathlon,Biathlon, Lilia efremova,Ukraine,Women,7.5KM,Bronze
2006,Turin,Biathlon,Biathlon, Florence baverel-robert,France,Women,7.5KM,Gold
2006,Turin,Biathlon,Biathlon, Anna Carin olofsson,Sweden,Women,7.5KM,Silver
2006,Turin,Bobsleigh,Bobsleigh, Jennifer isacco,Italy,Women,Two-Man,Bronze
2006,Turin,Bobsleigh,Bobsleigh, Gerda weissensteiner,Italy,Women,Two-Man,Bronze
2006,Turin,Bobsleigh,Bobsleigh, Sandra kiriasis,Germany,Women,Two-Man,Gold
2006,Turin,Bobsleigh,Bobsleigh, Anja schneiderheinze,Germany,Women,Two-Man,Gold
2006,Turin,Bobsleigh,Bobsleigh, Valerie fleming,USA,Women,Two-Man,Silver
2006,Turin,Bobsleigh,Bobsleigh, Shauna rohbock,USA,Women,Two-Man,Silver
2006,Turin,Bobsleigh,Skeleton, Mellisa hollingsworth-richards,Canada,Women,Individual,Bronze
2006,Turin,Bobsleigh,Skeleton, Maya pedersen,Switzerland,Women,Individual,Gold
2006,Turin,Bobsleigh,Skeleton, Shelley rudman,UK,Women,Individual,Silver
2006,Turin,Curling,Curling, Glenys bakker,Canada,Women,Curling,Bronze
2006,Turin,Curling,Curling, Sandra jenkins,Canada,Women,Curling,Bronze
2006,Turin,Curling,Curling, Christine keshen,Canada,Women,Curling,Bronze
2006,Turin,Curling,Curling, Shannon kleibrink,Canada,Women,Curling,Bronze
2006,Turin,Curling,Curling, Amy nixon,Canada,Women,Curling,Bronze
2006,Turin,Curling,Curling, Ulrika bergman,Sweden,Women,Curling,Gold
2006,Turin,Curling,Curling, Cathrine lindahl,Sweden,Women,Curling,Gold
2006,Turin,Curling,Curling, Eva lund,Sweden,Women,Curling,Gold
2006,Turin,Curling,Curling, Anette norberg,Sweden,Women,Curling,Gold
2006,Turin,Curling,Curling, Anna svaerd,Sweden,Women,Curling,Gold
2006,Turin,Curling,Curling, Binia beeli,Switzerland,Women,Curling,Silver
2006,Turin,Curling,Curling, Manuela kormann,Switzerland,Women,Curling,Silver
2006,Turin,Curling,Curling, Michele moser,Switzerland,Women,Curling,Silver
2006,Turin,Curling,Curling, Mirjam ott,Switzerland,Women,Curling,Silver
2006,Turin,Curling,Curling, Valeria spaelty,Switzerland,Women,Curling,Silver
2006,Turin,Ice Hockey,Ice Hockey, Caitlin cahow,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Julie chu,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Natalie darwitz,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Pam dreyer,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Tricia dunn-luoma,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Molly engstrom,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Chanda gunn,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Jamie hagerman,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Kim insalaco,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Kathleen kauth,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Courtney kennedy,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Katie king,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Kristin king,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Sarah parsons,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Jenny potter,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Helen resor,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Angela ruggiero,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Kelly stephens,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Lyndsay wall,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Krissy wendell,USA,Women,Ice Hockey,Bronze
2006,Turin,Ice Hockey,Ice Hockey, Meghan agosta,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Gillian apps,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Jennifer botterill,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Cassie campbell,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Gillian ferrari,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Danielle goyette,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Jayna hefford,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Becky kellar,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Gina kingsbury,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Charline labonte,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Carla macleod,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Caroline ouellette,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Cherie piper,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Cheryl pounder,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Colleen sostorics,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Vicky sunohara,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Sarah vaillancourt,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Katie weatherston,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Hayley wickenheiser,Canada,Women,Ice Hockey,Gold
2006,Turin,Ice Hockey,Ice Hockey, Cecilia andersson,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Gunilla andersson,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Jenni asserholt,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Ann-Louise edstrand,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Joa elfsberg,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Emma eliasson,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Erika holst,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Nanna jansson,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Ylva lindberg,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Jenny lindqvist,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Kristina lundberg,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Kim martin,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Frida nevalainen,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Emilie o konor,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Maria rooth,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Danijela rundqvist,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Therese sjolander,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Katarina timglas,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Anna vikman,Sweden,Women,Ice Hockey,Silver
2006,Turin,Ice Hockey,Ice Hockey, Pernilla winberg,Sweden,Women,Ice Hockey,Silver
2006,Turin,Luge,Luge, Tatjana huefner,Germany,Women,Singles,Bronze
2006,Turin,Luge,Luge, Sylke otto,Germany,Women,Singles,Gold
2006,Turin,Luge,Luge, Silke kraushaar,Germany,Women,Singles,Silver
2006,Turin,Skating,Figure skating, Elena grushina,Ukraine,Women,Ice Dancing,Bronze
2006,Turin,Skating,Figure skating, Tatiana navka,Russia,Women,Ice Dancing,Gold
2006,Turin,Skating,Figure skating, Tanith belbin,USA,Women,Ice Dancing,Silver
2006,Turin,Skating,Figure skating, Irina slutskaya,Russia,Women,Individual,Bronze
2006,Turin,Skating,Figure skating, Shizuka arakawa,Japan,Women,Individual,Gold
2006,Turin,Skating,Figure skating, Sasha cohen,USA,Women,Individual,Silver
2006,Turin,Skating,Figure skating, Xue shen,China,Women,Pairs,Bronze
2006,Turin,Skating,Figure skating, Tatiana totmianina,Russia,Women,Pairs,Gold
2006,Turin,Skating,Figure skating, Dan zhang,China,Women,Pairs,Silver
2006,Turin,Skating,Short Track Speed Skating, Yang yang (a),China,Women,1000M,Bronze
2006,Turin,Skating,Short Track Speed Skating, Sun-Yu jin,South Korea,Women,1000M,Gold
2006,Turin,Skating,Short Track Speed Skating, Meng wang,China,Women,1000M,Silver
2006,Turin,Skating,Short Track Speed Skating, Meng wang,China,Women,1500M,Bronze
2006,Turin,Skating,Short Track Speed Skating, Sun-Yu jin,South Korea,Women,1500M,Gold
2006,Turin,Skating,Short Track Speed Skating, Eun-Kyung choi,South Korea,Women,1500M,Silver
2006,Turin,Skating,Short Track Speed Skating, Marta capurso,Italy,Women,3000M Relay,Bronze
2006,Turin,Skating,Short Track Speed Skating, Arianna fontana,Italy,Women,3000M Relay,Bronze
2006,Turin,Skating,Short Track Speed Skating, Katia zini,Italy,Women,3000M Relay,Bronze
2006,Turin,Skating,Short Track Speed Skating, Mara zini,Italy,Women,3000M Relay,Bronze
2006,Turin,Skating,Short Track Speed Skating, Chun-Sa byun,South Korea,Women,3000M Relay,Gold
2006,Turin,Skating,Short Track Speed Skating, Eun-Kyung choi,South Korea,Women,3000M Relay,Gold
2006,Turin,Skating,Short Track Speed Skating, Da-Hye jeon,South Korea,Women,3000M Relay,Gold
2006,Turin,Skating,Short Track Speed Skating, Sun-Yu jin,South Korea,Women,3000M Relay,Gold
2006,Turin,Skating,Short Track Speed Skating, Yun-Mi kang,South Korea,Women,3000M Relay,Gold
2006,Turin,Skating,Short Track Speed Skating, Alanna kraus,Canada,Women,3000M Relay,Silver
2006,Turin,Skating,Short Track Speed Skating, Anouk leblanc-boucher,Canada,Women,3000M Relay,Silver
2006,Turin,Skating,Short Track Speed Skating, Amanda overland,Canada,Women,3000M Relay,Silver
2006,Turin,Skating,Short Track Speed Skating, Kalyna roberge,Canada,Women,3000M Relay,Silver
2006,Turin,Skating,Short Track Speed Skating, Tania vicent,Canada,Women,3000M Relay,Silver
2006,Turin,Skating,Short Track Speed Skating, Anouk leblanc-boucher,Canada,Women,500M,Bronze
2006,Turin,Skating,Short Track Speed Skating, Meng wang,China,Women,500M,Gold
2006,Turin,Skating,Short Track Speed Skating, Evgenia radanova,Bulgaria,Women,500M,Silver
2006,Turin,Skating,Speed skating, Anna friesinger-postma,Germany,Women,1000M,Bronze
2006,Turin,Skating,Speed skating, Marianne timmer,Netherlands,Women,1000M,Gold
2006,Turin,Skating,Speed skating, Cindy klassen,Canada,Women,1000M,Silver
2006,Turin,Skating,Speed skating, Ireen wust,Netherlands,Women,1500M,Bronze
2006,Turin,Skating,Speed skating, Cindy klassen,Canada,Women,1500M,Gold
2006,Turin,Skating,Speed skating, Kristina groves,Canada,Women,1500M,Silver
2006,Turin,Skating,Speed skating, Cindy klassen,Canada,Women,3000M,Bronze
2006,Turin,Skating,Speed skating, Ireen wust,Netherlands,Women,3000M,Gold
2006,Turin,Skating,Speed skating, Renate groenewold,Netherlands,Women,3000M,Silver
2006,Turin,Skating,Speed skating, Cindy klassen,Canada,Women,5000M,Bronze
2006,Turin,Skating,Speed skating, Clara hughes,Canada,Women,5000M,Gold
2006,Turin,Skating,Speed skating, Claudia pechstein,Germany,Women,5000M,Silver
2006,Turin,Skating,Speed skating, Hui ren,China,Women,500M,Bronze
2006,Turin,Skating,Speed skating, Svetlana zhurova,Russia,Women,500M,Gold
2006,Turin,Skating,Speed skating, Manli wang,China,Women,500M,Silver
2006,Turin,Skating,Speed skating, Yekaterina abramova,Russia,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating, Varvara barysheva,Russia,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating, Galina likhachova,Russia,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating, Yekaterina lobysheva,Russia,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating, Svetlana vysokova,Russia,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating, Daniela anschuetz thoms,Germany,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating, Anna friesinger-postma,Germany,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating, Lucille opitz,Germany,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating, Claudia pechstein,Germany,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating, Sabine voelker,Germany,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating, Kristina groves,Canada,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating, Clara hughes,Canada,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating, Cindy klassen,Canada,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating, Christine nesbitt,Canada,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating, Shannon rempel,Canada,Women,Team Pursuit,Silver
2006,Turin,Skiing,Alpine Skiing, Anja paerson,Sweden,Women,Alpine Combined,Bronze
2006,Turin,Skiing,Alpine Skiing, Janica kostelic,Croatia,Women,Alpine Combined,Gold
2006,Turin,Skiing,Alpine Skiing, Marlies schild,Austria,Women,Alpine Combined,Silver
2006,Turin,Skiing,Alpine Skiing, Anja paerson,Sweden,Women,Downhill,Bronze
2006,Turin,Skiing,Alpine Skiing, Michaela dorfmeister,Austria,Women,Downhill,Gold
2006,Turin,Skiing,Alpine Skiing, Martina schild,Switzerland,Women,Downhill,Silver
2006,Turin,Skiing,Alpine Skiing, Anna ottosson,Sweden,Women,Giant Slalom,Bronze
2006,Turin,Skiing,Alpine Skiing, Julia mancuso,USA,Women,Giant Slalom,Gold
2006,Turin,Skiing,Alpine Skiing, Tanja poutiainen,Finland,Women,Giant Slalom,Silver
2006,Turin,Skiing,Alpine Skiing, Marlies schild,Austria,Women,Slalom,Bronze
2006,Turin,Skiing,Alpine Skiing, Anja paerson,Sweden,Women,Slalom,Gold
2006,Turin,Skiing,Alpine Skiing, Nicole hosp,Austria,Women,Slalom,Silver
2006,Turin,Skiing,Alpine Skiing, Alexandra meissnitzer,Austria,Women,Super-G,Bronze
2006,Turin,Skiing,Alpine Skiing, Michaela dorfmeister,Austria,Women,Super-G,Gold
2006,Turin,Skiing,Alpine Skiing, Janica kostelic,Croatia,Women,Super-G,Silver
2006,Turin,Skiing,Cross Country Skiing, Hilde G pedersen,Norway,Women,10KM,Bronze
2006,Turin,Skiing,Cross Country Skiing, Kristina smigun,Estonia,Women,10KM,Gold
2006,Turin,Skiing,Cross Country Skiing, Marit bjorgen,Norway,Women,10KM,Silver
2006,Turin,Skiing,Cross Country Skiing, Justyna kowalczyk,Poland,Women,30KM,Bronze
2006,Turin,Skiing,Cross Country Skiing, Katerina neumannova,Czech Republic,Women,30KM,Gold
2006,Turin,Skiing,Cross Country Skiing, Julija tchepalova,Russia,Women,30KM,Silver
2006,Turin,Skiing,Cross Country Skiing, Antonella confortola,Italy,Women,4X5KM Relay,Bronze
2006,Turin,Skiing,Cross Country Skiing, Arianna follis,Italy,Women,4X5KM Relay,Bronze
2006,Turin,Skiing,Cross Country Skiing, Gabriella paruzzi,Italy,Women,4X5KM Relay,Bronze
2006,Turin,Skiing,Cross Country Skiing, Sabina valbusa,Italy,Women,4X5KM Relay,Bronze
2006,Turin,Skiing,Cross Country Skiing, Natalia baranova-masolkina,Russia,Women,4X5KM Relay,Gold
2006,Turin,Skiing,Cross Country Skiing, Larisa kurkina,Russia,Women,4X5KM Relay,Gold
2006,Turin,Skiing,Cross Country Skiing, Evgenia medvedeva-abruzova,Russia,Women,4X5KM Relay,Gold
2006,Turin,Skiing,Cross Country Skiing, Julija tchepalova,Russia,Women,4X5KM Relay,Gold
2006,Turin,Skiing,Cross Country Skiing, Viola bauer,Germany,Women,4X5KM Relay,Silver
2006,Turin,Skiing,Cross Country Skiing, Stefanie boehler,Germany,Women,4X5KM Relay,Silver
2006,Turin,Skiing,Cross Country Skiing, Claudia kuenzel,Germany,Women,4X5KM Relay,Silver
2006,Turin,Skiing,Cross Country Skiing, Evi sachenbacher stehle,Germany,Women,4X5KM Relay,Silver
2006,Turin,Skiing,Cross Country Skiing, Evgenia medvedeva-abruzova,Russia,Women,Combined 7.5 + 7.5Km Mass Start,Bronze
2006,Turin,Skiing,Cross Country Skiing, Kristina smigun,Estonia,Women,Combined 7.5 + 7.5Km Mass Start,Gold
2006,Turin,Skiing,Cross Country Skiing, Katerina neumannova,Czech Republic,Women,Combined 7.5 + 7.5Km Mass Start,Silver
2006,Turin,Skiing,Cross Country Skiing, Alena sidko,Russia,Women,Sprint 1.5KM,Bronze
2006,Turin,Skiing,Cross Country Skiing, Chandra crawford,Canada,Women,Sprint 1.5KM,Gold
2006,Turin,Skiing,Cross Country Skiing, Claudia kuenzel,Germany,Women,Sprint 1.5KM,Silver
2006,Turin,Skiing,Cross Country Skiing, Virpi kuitunen,Finland,Women,Team Sprint,Bronze
2006,Turin,Skiing,Cross Country Skiing, Aino Kaisa saarinen,Finland,Women,Team Sprint,Bronze
2006,Turin,Skiing,Cross Country Skiing, Lina andersson,Sweden,Women,Team Sprint,Gold
2006,Turin,Skiing,Cross Country Skiing, Anna dahlberg,Sweden,Women,Team Sprint,Gold
2006,Turin,Skiing,Cross Country Skiing, Sara renner,Canada,Women,Team Sprint,Silver
2006,Turin,Skiing,Cross Country Skiing, Beckie scott,Canada,Women,Team Sprint,Silver
2006,Turin,Skiing,Freestyle Skiing, Alisa camplin,Australia,Women,Aerials,Bronze
2006,Turin,Skiing,Freestyle Skiing, Evelyne leu,Switzerland,Women,Aerials,Gold
2006,Turin,Skiing,Freestyle Skiing, Nina li,China,Women,Aerials,Silver
2006,Turin,Skiing,Freestyle Skiing, Sandra laoura,France,Women,Moguls,Bronze
2006,Turin,Skiing,Freestyle Skiing, Jennifer heil,Canada,Women,Moguls,Gold
2006,Turin,Skiing,Freestyle Skiing, Kari traa,Norway,Women,Moguls,Silver
2006,Turin,Skiing,Snowboard, Rosey fletcher,USA,Women,Giant Parallel Slalom,Bronze
2006,Turin,Skiing,Snowboard, Daniela meuli,Switzerland,Women,Giant Parallel Slalom,Gold
2006,Turin,Skiing,Snowboard, Amelie kober,Germany,Women,Giant Parallel Slalom,Silver
2006,Turin,Skiing,Snowboard, Kjersti buaas,Norway,Women,Half-Pipe,Bronze
2006,Turin,Skiing,Snowboard, Hannah teter,USA,Women,Half-Pipe,Gold
2006,Turin,Skiing,Snowboard, Gretchen bleiler,USA,Women,Half-Pipe,Silver
2006,Turin,Skiing,Snowboard, Dominique maltais,Canada,Women,Snowboard Cross,Bronze
2006,Turin,Skiing,Snowboard, Tanja frieden,Switzerland,Women,Snowboard Cross,Gold
2006,Turin,Skiing,Snowboard, Lindsey jacobellis,USA,Women,Snowboard Cross,Silver
2010,Vancouver,Biathlon,Biathlon, Marie Laure brunet,France,Women,10KM Pursuit,Bronze
2010,Vancouver,Biathlon,Biathlon, Magdalena neuner,Germany,Women,10KM Pursuit,Gold
2010,Vancouver,Biathlon,Biathlon, Anastazia kuzmina,Slovakia,Women,10KM Pursuit,Silver
2010,Vancouver,Biathlon,Biathlon, Simone hauswald,Germany,Women,12.5KM Mass Start,Bronze
2010,Vancouver,Biathlon,Biathlon, Magdalena neuner,Germany,Women,12.5KM Mass Start,Gold
2010,Vancouver,Biathlon,Biathlon, Olga zaitseva,Russia,Women,12.5KM Mass Start,Silver
2010,Vancouver,Biathlon,Biathlon, Darya domracheva,Belarus,Women,15KM,Bronze
2010,Vancouver,Biathlon,Biathlon, Tora berger,Norway,Women,15KM,Gold
2010,Vancouver,Biathlon,Biathlon, Elena khrustaleva,Kazakhstan,Women,15KM,Silver
2010,Vancouver,Biathlon,Biathlon, Martina beck,Germany,Women,4X6KM Relay,Bronze
2010,Vancouver,Biathlon,Biathlon, Simone hauswald,Germany,Women,4X6KM Relay,Bronze
2010,Vancouver,Biathlon,Biathlon, Andrea henkel,Germany,Women,4X6KM Relay,Bronze
2010,Vancouver,Biathlon,Biathlon, Kati wilhelm,Germany,Women,4X6KM Relay,Bronze
2010,Vancouver,Biathlon,Biathlon, Anna bogaliy-titovets,Russia,Women,4X6KM Relay,Gold
2010,Vancouver,Biathlon,Biathlon, Olga medvedtseva,Russia,Women,4X6KM Relay,Gold
2010,Vancouver,Biathlon,Biathlon, Svetlana sleptsova,Russia,Women,4X6KM Relay,Gold
2010,Vancouver,Biathlon,Biathlon, Olga zaitseva,Russia,Women,4X6KM Relay,Gold
2010,Vancouver,Biathlon,Biathlon, Sandrine bailly,France,Women,4X6KM Relay,Silver
2010,Vancouver,Biathlon,Biathlon, Sylvie becaert,France,Women,4X6KM Relay,Silver
2010,Vancouver,Biathlon,Biathlon, Marie Laure brunet,France,Women,4X6KM Relay,Silver
2010,Vancouver,Biathlon,Biathlon, Marie dorin,France,Women,4X6KM Relay,Silver
2010,Vancouver,Biathlon,Biathlon, Marie dorin,France,Women,7.5KM,Bronze
2010,Vancouver,Biathlon,Biathlon, Anastazia kuzmina,Slovakia,Women,7.5KM,Gold
2010,Vancouver,Biathlon,Biathlon, Magdalena neuner,Germany,Women,7.5KM,Silver
2010,Vancouver,Bobsleigh,Bobsleigh, Elana meyers,USA,Women,Two-Man,Bronze
2010,Vancouver,Bobsleigh,Bobsleigh, Erin pac,USA,Women,Two-Man,Bronze
