Year,RatioF,RatioM
2018,6.916666666666667,4.130434782608695
2020,19.37037037037037,24.539473684210527
2013,4.666666666666667,1.5
2008,1.0,0
2017,4.6,3.9285714285714284
2019,17.892857142857142,21.486842105263158
2012,5.666666666666667,11.0
2009,2.0,0
2014,7.25,2.0
2015,6.2,4.0
2011,2.0,0
2016,5.375,5.4
